City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,richards bay,-28.783,32.0377,291.91,81,100,1.09,ZA,1699497044
155,xinyuan,37.3,99.0,273.62,17,0,4.1,CN,1699497053
156,arkhara,49.4212,130.0842,261.91,96,86,1.79,RU,1699497064
157,nieuw amsterdam,5.8833,-55.0833,299.83,87,41,4.65,SR,1699497074
158,georgetown,5.4112,100.3354,303.16,77,20,2.06,MY,1699496943
159,todos santos,23.45,-110.2167,294.99,73,100,3.69,MX,1699497094
160,rostusa,41.61,20.6,279.49,90,29,1.24,MK,1699497104
161,itaueira,-7.6033,-43.0256,298.9,57,0,3.08,BR,1699497116
162,saint-philippe,-21.3585,55.7679,295.92,78,2,3.87,RE,1699497126
163,yangambi,0.8102,24.4336,293.86,99,100,1.17,CD,1699497137
164,karoi,-16.8099,29.6925,291.99,85,25,2.74,ZW,1699497149
165,isangel,-19.55,169.2667,297.11,67,76,8.39,VU,1699497160
166,kerikeri,-35.2268,173.9474,290.47,53,36,2.45,NZ,1699497175
167,detroit lakes,46.8172,-95.8453,276.4,71,0,6.17,US,1699497188
168,weno,7.4515,151.8468,302.12,84,100,5.14,FM,1699497205
169,egilsstadir,65.2653,-14.3948,275.85,99,100,7.05,IS,1699497219
170,okha,53.5739,142.9478,270.36,69,100,2.24,RU,1699497235
171,praia da vitoria,38.7333,-27.0667,291.9,100,75,2.99,PT,1699497249
172,uliastay,47.7417,96.8444,263.03,83,100,1.35,MN,1699497265
173,tongliao,43.6125,122.2653,268.35,68,46,6.19,CN,1699497282
174,ta`u,-14.2336,-169.5144,300.19,80,100,3.71,AS,1699497296
175,chonchi,-42.6128,-73.8092,281.71,96,94,0.98,CL,1699497160
176,yung shue wan,22.2333,114.1167,299.83,79,95,8.13,HK,1699497328
177,saint-francois,46.4154,3.9054,281.84,82,100,5.14,FR,1699497110
178,mandan,46.8267,-100.8896,276.46,75,40,4.63,US,1699497356
179,souillac,-20.5167,57.5167,295.36,94,40,1.54,MU,1699497369
180,al fuwayliq,26.4432,43.2534,292.69,46,0,2.29,SA,1699497382
181,san jose del guaviare,2.5729,-72.6459,296.46,97,58,0.44,CO,1699497394
182,keflavik,64.0049,-22.5624,277.52,75,0,6.17,IS,1699497404
183,baicheng,45.6167,122.8167,271.04,33,0,4.7,CN,1699497418
184,stephenville,32.2207,-98.2023,298.08,75,0,3.6,US,1699497298
185,san patricio,28.017,-97.5169,298.62,82,38,5.3,US,1699497446
186,quthing,-30.4,27.7003,287.87,54,0,0.97,LS,1699497459
187,holualoa,19.6228,-155.9522,300.06,80,40,3.6,US,1699497473
188,thames,-37.1333,175.5333,290.74,55,60,2.02,NZ,1699497487
189,aliwal north,-30.6937,26.7114,286.37,78,0,2.06,ZA,1699497500
